// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44804
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
28751		3.338503	4.054352	8.949936	0.003907	-0.006823	-0.013627	25.013832	-17.736359	-12.251784			
28752		3.312815	4.042521	8.930848	0.007475	-0.015670	-0.008358	25.009477	-17.741881	-12.253003			
28753		3.382069	4.008301	8.921644	0.002712	-0.011324	-0.005563	25.006891	-17.742888	-12.256452			
28754		3.358972	4.014581	8.918627	0.006860	-0.009140	-0.012564	25.002398	-17.744035	-12.258338			
28755		3.359271	4.015929	8.917907	0.013498	-0.009373	-0.013664	25.007183	-17.742072	-12.265701			
28756		3.338524	4.041467	8.930528	0.015111	-0.009559	-0.013580	25.007640	-17.743243	-12.268324			
28757		3.312254	4.051883	8.961399	0.015294	-0.009048	-0.015014	25.013647	-17.740787	-12.276334			
28758		3.344746	4.060203	8.910368	0.011349	-0.015429	-0.014459	25.012580	-17.744813	-12.280830			
28759		3.340207	4.046623	8.927563	0.017242	-0.015349	-0.007320	25.018910	-17.747496	-12.286242			
28760		3.343656	4.066209	8.942630	0.006305	-0.010674	-0.008260	25.013582	-17.750575	-12.286308			
28761		3.367832	4.061622	8.944474	0.008189	-0.008915	-0.009075	25.014513	-17.749497	-12.291035			
28762		3.365974	4.044339	8.927767	0.007472	-0.015669	-0.008352	25.010294	-17.755201	-12.292330			
28763		3.314136	4.041314	8.940276	0.011152	-0.013585	-0.010518	25.013521	-17.756202	-12.299025			
28764		3.346634	4.070599	8.939519	0.011056	-0.012662	-0.008548	25.011180	-17.760313	-12.299664			
28765		3.339428	4.038418	8.940940	0.012486	-0.013358	-0.007032	25.014570	-17.762045	-12.304395			
28766		3.343324	4.036637	8.905687	0.010609	-0.017472	-0.008722	25.012399	-17.768634	-12.306511			
28767		3.344433	4.037971	8.904666	0.012492	-0.015713	-0.009537	25.016388	-17.770985	-12.313201			
28768		3.345279	4.039353	8.903721	0.011235	-0.012151	-0.009982	25.014404	-17.774566	-12.314631			
28769		3.322275	4.067377	8.950665	0.007468	-0.015668	-0.008349	25.015310	-17.777187	-12.320656			
28770		3.352651	4.078035	8.933873	0.009965	-0.018078	-0.002449	25.011832	-17.785665	-12.319514			
28771		3.333190	4.081266	8.896268	0.006913	-0.014842	-0.001542	25.011219	-17.789510	-12.321612			
28772		3.349906	4.064080	8.950620	0.001891	-0.014798	-0.000353	25.002545	-17.796810	-12.318591			
28773		3.343379	4.009520	8.902120	0.003692	-0.016829	-0.004210	25.000681	-17.801045	-12.322643			
28774		3.409990	3.978547	8.927005	0.007821	-0.012292	-0.008712	24.996631	-17.805083	-12.323514			
28775		3.344673	4.011694	8.900655	0.014288	-0.005899	-0.018870	25.002429	-17.800097	-12.332776			
28776		3.349940	4.050184	8.931681	0.015180	-0.010479	-0.015556	25.003613	-17.801545	-12.336792			
28777		3.355627	4.067114	8.912456	0.011953	-0.010110	-0.015719	25.007870	-17.799512	-12.345400			
28778		3.350387	4.053540	8.929991	0.012221	-0.008167	-0.016618	25.007379	-17.799550	-12.349612			
28779		3.350493	4.055119	8.929234	0.011945	-0.007753	-0.013214	25.011027	-17.796904	-12.356248			
28780		3.332622	4.077140	8.907711	0.009614	-0.011965	-0.010062	25.008282	-17.800551	-12.357703			
28781		3.351611	4.036151	8.877549	0.008175	-0.008914	-0.009074	25.009165	-17.799516	-12.362371			
28782		3.349066	4.040505	8.911177	0.010510	-0.007059	-0.014730	25.007357	-17.799454	-12.365231			
28783		3.346388	4.045066	8.944765	0.011849	-0.006828	-0.011246	25.010541	-17.796813	-12.370547			
28784		3.343999	4.028222	8.928089	0.013281	-0.007521	-0.009730	25.009543	-17.798283	-12.370945			
28785		3.354829	4.060336	8.890574	0.015708	-0.006591	-0.017355	25.015933	-17.794043	-12.379527			
28786		3.380642	4.075013	8.908255	0.011577	0.000712	-0.018330	25.014784	-17.789124	-12.382330			
28787		3.356264	4.082165	8.905333	0.011495	-0.003079	-0.021366	25.019149	-17.782093	-12.392199			
28788		3.353049	4.065399	8.888931	0.008175	-0.001789	-0.019559	25.016471	-17.778250	-12.396698			
28789		3.370627	4.046223	8.909316	0.008534	-0.000771	-0.022428	25.019131	-17.769767	-12.406553			
28790		3.322187	4.079986	8.954380	0.006914	0.001770	-0.020007	25.015553	-17.763943	-12.410388			
28791		3.347875	4.051405	8.872009	0.011752	0.001224	-0.019764	25.019452	-17.755075	-12.418277			
28792		3.330824	4.029394	8.976649	0.019636	-0.000196	-0.017924	25.023030	-17.750908	-12.421025			
28793		3.338302	4.043415	8.923352	0.012825	-0.000486	-0.015379	25.026942	-17.743993	-12.426951			
28794		3.311511	4.053821	8.954510	0.017131	-0.004916	-0.013333	25.028706	-17.743337	-12.428269			
28795		3.319552	4.068039	8.900891	0.022061	-0.006386	-0.015058	25.038309	-17.739567	-12.435515			
28796		3.322069	4.088745	8.915732	0.020355	-0.005279	-0.013171	25.041894	-17.739109	-12.437808			
28797		3.348246	4.103835	8.933085	0.018648	-0.004172	-0.011284	25.048739	-17.735108	-12.442428			
28798		3.345525	4.087520	8.916314	0.017306	-0.004407	-0.014767	25.050870	-17.734011	-12.444447			
28799		3.290055	4.066948	8.913070	0.019010	-0.005514	-0.016653	25.058913	-17.729407	-12.452328			
28800		3.319010	4.078643	8.896240	0.013635	-0.006495	-0.012591	25.058744	-17.729866	-12.454158			
28801		3.361020	4.054321	8.918725	0.013807	-0.003627	-0.011526	25.062804	-17.725531	-12.458759			
28802		3.339596	4.079868	8.931487	0.014526	-0.003955	-0.019765	25.064126	-17.722812	-12.464430			
28803		3.310249	4.072067	8.946694	0.015781	-0.005151	-0.016814	25.070307	-17.717988	-12.472296			
28804		3.310129	4.052497	8.895752	0.017564	-0.002463	-0.015669	25.072597	-17.715433	-12.475293			
28805		3.293832	4.114994	8.940138	0.015601	-0.005659	-0.015378	25.078471	-17.711224	-12.482500			
28806		3.317492	4.111351	8.941766	0.013540	-0.005567	-0.010622	25.077951	-17.711695	-12.482641			
28807		3.320530	4.109308	8.906847	0.006384	-0.009238	-0.007704	25.077546	-17.711212	-12.486574			
28808		3.339277	4.089639	8.927137	0.008161	-0.004188	-0.004061	25.072781	-17.712371	-12.482649			
