// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B44846
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
28751		0.215097	4.224283	8.645411	0.009358	0.001924	0.008498	26.182336	-1.846927	-5.555923			
28752		0.192448	4.196791	8.623421	0.015097	0.006260	0.007854	26.183946	-1.848698	-5.557319			
28753		0.171927	4.187219	8.630889	0.015344	0.007459	0.010238	26.184092	-1.838979	-5.573491			
28754		0.217069	4.245600	8.673207	0.015417	0.004498	0.007549	26.185905	-1.841560	-5.575510			
28755		0.224467	4.244049	8.613232	0.017651	0.002023	0.010151	26.182723	-1.848454	-5.577736			
28756		0.224627	4.245326	8.612599	0.012509	0.003814	0.009214	26.182840	-1.851812	-5.579076			
28757		0.192327	4.202974	8.620412	0.008468	0.004258	0.006725	26.175016	-1.857566	-5.580225			
28758		0.164859	4.250776	8.614238	0.012722	0.004797	0.005888	26.175294	-1.859584	-5.583027			
28759		0.224561	4.248142	8.611212	0.011555	-0.000763	0.005392	26.174441	-1.856293	-5.597797			
28760		0.174594	4.212664	8.656674	0.009921	0.001368	0.010576	26.173066	-1.861247	-5.599066			
28761		0.205029	4.239054	8.618424	0.010314	-0.003359	0.007584	26.175072	-1.859106	-5.608545			
28762		0.216425	4.236227	8.639532	0.013574	-0.004216	0.011322	26.175829	-1.867107	-5.610847			
28763		0.213448	4.183667	8.631098	0.018287	-0.001497	0.009541	26.177510	-1.874601	-5.609401			
28764		0.186552	4.232446	8.624406	0.025446	-0.000273	0.007038	26.185106	-1.879495	-5.612906			
28765		0.197613	4.230816	8.644943	0.025764	-0.002035	0.006734	26.195137	-1.879231	-5.618768			
28766		0.218508	4.243846	8.635739	0.025550	-0.003010	0.010060	26.202768	-1.886289	-5.621414			
28767		0.227374	4.224288	8.626838	0.020943	-0.002007	0.005492	26.210054	-1.886391	-5.626160			
28768		0.219161	4.247668	8.633843	0.021792	0.005320	0.006287	26.215530	-1.888205	-5.628638			
28769		0.217915	4.213720	8.654593	0.030260	-0.000286	0.008278	26.227024	-1.896214	-5.619562			
28770		0.207571	4.220017	8.631742	0.027813	0.001212	0.008999	26.235939	-1.900833	-5.621672			
28771		0.207730	4.222428	8.630559	0.028520	0.004597	0.010434	26.252830	-1.900692	-5.610481			
28772		0.180278	4.217268	8.696740	0.029404	0.002276	0.012210	26.262602	-1.905577	-5.610656			
28773		0.260509	4.226895	8.684851	0.030430	0.003898	0.013342	26.274242	-1.899072	-5.620264			
28774		0.282308	4.276324	8.653602	0.027665	0.007161	0.014364	26.282944	-1.901978	-5.618105			
28775		0.270384	4.246144	8.652795	0.023730	0.004862	0.014900	26.292162	-1.898825	-5.619368			
28776		0.247558	4.219479	8.630501	0.021395	0.010069	0.009265	26.297339	-1.898934	-5.619093			
28777		0.228269	4.246977	8.615668	0.028974	0.006791	0.009486	26.314498	-1.889315	-5.621057			
28778		0.197196	4.241980	8.601174	0.018344	0.005449	0.011579	26.317937	-1.892371	-5.620767			
28779		0.198318	4.225128	8.651878	0.016002	0.004210	0.015325	26.319055	-1.894666	-5.619163			
28780		0.198872	4.226413	8.651237	0.014543	0.000650	0.020850	26.320198	-1.902539	-5.615329			
28781		0.251059	4.245302	8.656029	0.012416	0.000383	0.021269	26.330518	-1.902388	-5.602380			
28782		0.220749	4.239326	8.642007	0.012314	0.003120	0.018241	26.330421	-1.908323	-5.599245			
28783		0.228334	4.293803	8.729924	0.011461	0.005682	0.022169	26.330447	-1.911659	-5.590451			
28784		0.224031	4.259153	8.670474	0.012846	0.002327	0.014612	26.330724	-1.917077	-5.589378			
28785		0.247120	4.288416	8.691454	0.003707	0.004786	0.016886	26.324816	-1.915430	-5.594073			
28786		0.255535	4.267004	8.683538	0.001481	0.007253	0.014276	26.318546	-1.918225	-5.591928			
28787		0.236469	4.292582	8.669607	0.004317	0.010908	0.015288	26.315164	-1.916927	-5.583817			
28788		0.252616	4.249802	8.653775	0.006371	0.014151	0.017549	26.311583	-1.917007	-5.578232			
28789		0.231471	4.239457	8.661744	0.003511	0.020150	0.015538	26.301186	-1.909078	-5.583977			
28790		0.236099	4.200585	8.624222	0.010599	0.024341	0.015714	26.299968	-1.903450	-5.576761			
28791		0.177435	4.223730	8.655458	0.022107	0.023358	0.015405	26.302333	-1.902083	-5.563502			
28792		0.173962	4.207920	8.625025	0.025745	0.017776	0.016168	26.309836	-1.899951	-5.557714			
28793		0.193160	4.220654	8.615937	0.021787	0.025133	0.015702	26.309496	-1.896032	-5.551786			
28794		0.193883	4.240613	8.644399	0.027356	0.025282	0.009991	26.317958	-1.888479	-5.547267			
28795		0.190070	4.225064	8.613844	0.026985	0.020377	0.013971	26.329915	-1.881260	-5.535329			
28796		0.201041	4.259684	8.612390	0.026983	0.020382	0.013970	26.338143	-1.877235	-5.530000			
28797		0.218699	4.236557	8.625226	0.025638	0.020529	0.013138	26.346044	-1.866044	-5.530632			
28798		0.201013	4.282207	8.639589	0.030448	0.020514	0.014385	26.356252	-1.862049	-5.525061			
28799		0.249033	4.284433	8.614397	0.028098	0.019289	0.018130	26.363564	-1.857280	-5.519283			
28800		0.235829	4.254245	8.613746	0.022164	0.020418	0.012720	26.369053	-1.852910	-5.514593			
28801		0.203595	4.249357	8.599185	0.026414	0.020955	0.011887	26.377967	-1.844891	-5.508219			
28802		0.215191	4.265964	8.649141	0.029881	0.021084	0.012303	26.387882	-1.840072	-5.503569			
28803		0.214012	4.268642	8.647849	0.032637	0.017820	0.011294	26.408262	-1.830503	-5.488901			
28804		0.208225	4.235330	8.587792	0.027508	0.019610	0.010340	26.416873	-1.825937	-5.485616			
