// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B447F7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Vel_E	Vel_N	Vel_U
28751		-7.506841	1.225159	6.451120	0.002156	0.004024	-0.005299	11.408981	48.738450	-45.100560			
28752		-7.468854	1.233038	6.465928	0.001696	0.010093	-0.007981	11.408743	48.740164	-45.099954			
28753		-7.471835	1.237962	6.507180	0.009602	0.005007	-0.011987	11.406933	48.737847	-45.102821			
28754		-7.487273	1.279680	6.443406	0.008967	0.010467	-0.011267	11.408803	48.740142	-45.104947			
28755		-7.490296	1.284512	6.484635	0.001750	0.005188	-0.010708	11.403326	48.736931	-45.108951			
28756		-7.496968	1.263541	6.472347	-0.000231	0.001772	-0.008810	11.400373	48.734060	-45.110476			
28757		-7.483065	1.244048	6.446946	-0.003081	0.002162	-0.006637	11.397892	48.733770	-45.118283			
28758		-7.447075	1.257020	6.504156	0.000116	-0.000435	-0.007247	11.395856	48.729487	-45.118865			
28759		-7.457557	1.210216	6.438142	-0.010526	0.004603	-0.008316	11.385409	48.728994	-45.117496			
28760		-7.446175	1.195515	6.454551	-0.009944	0.004049	-0.006308	11.378786	48.727125	-45.116509			
28761		-7.446676	1.194654	6.454133	-0.000635	0.008887	-0.007645	11.373904	48.726918	-45.112144			
28762		-7.462211	1.158837	6.471465	-0.001277	0.004971	-0.005133	11.373114	48.725431	-45.109995			
28763		-7.474483	1.171978	6.454314	0.001517	0.009487	-0.004578	11.373961	48.727462	-45.109319			
28764		-7.495562	1.170382	6.466855	0.007043	0.008101	-0.005520	11.378093	48.727779	-45.106969			
28765		-7.469395	1.192406	6.464904	0.012045	0.008313	-0.004625	11.381053	48.725304	-45.096792			
28766		-7.481866	1.206478	6.447342	0.016933	0.012387	-0.004847	11.391830	48.727948	-45.093128			
28767		-7.484995	1.212804	6.488201	0.024143	0.008295	-0.003611	11.403723	48.727453	-45.083666			
28768		-7.491115	1.247969	6.482552	0.026703	0.011162	-0.003499	11.420801	48.729254	-45.079060			
28769		-7.480037	1.235890	6.498145	0.020535	0.008632	-0.000045	11.433713	48.730963	-45.067116			
28770		-7.462647	1.244191	6.525761	0.028039	0.010667	-0.002881	11.451887	48.732418	-45.062069			
28771		-7.454536	1.260784	6.494873	0.031761	0.006474	-0.005323	11.469884	48.732385	-45.067411			
28772		-7.481148	1.294633	6.502350	0.031297	0.012546	-0.008006	11.486890	48.735478	-45.066407			
28773		-7.470217	1.282592	6.517790	0.030074	0.009185	-0.007499	11.498348	48.732366	-45.060232			
28774		-7.479698	1.269042	6.546542	0.025360	0.011674	-0.004109	11.514330	48.734518	-45.056051			
28775		-7.492382	1.283782	6.528547	0.022393	0.015926	-0.003061	11.524880	48.734184	-45.044540			
28776		-7.490668	1.279524	6.485605	0.015876	0.006223	0.000627	11.537742	48.732726	-45.037263			
28777		-7.467996	1.276144	6.430110	0.003084	0.001266	-0.001725	11.538401	48.729311	-45.029526			
28778		-7.435578	1.264368	6.433760	0.010878	-0.009331	-0.005034	11.542744	48.719770	-45.029772			
28779		-7.385296	1.259878	6.465795	0.030832	0.003288	-0.015450	11.550726	48.717202	-45.034760			
28780		-7.399733	1.333777	6.496847	0.045142	0.021157	-0.026054	11.565240	48.727186	-45.047588			
28781		-7.514771	1.394714	6.551368	0.038802	0.021441	-0.027567	11.574716	48.738680	-45.066090			
28782		-7.496590	1.342215	6.529174	0.023331	0.014056	-0.022783	11.577892	48.744307	-45.077379			
28783		-7.542364	1.312827	6.500720	0.014731	0.008205	-0.026686	11.569912	48.745033	-45.091725			
28784		-7.578605	1.274964	6.531227	0.006471	0.006110	-0.022462	11.562588	48.746159	-45.104125			
28785		-7.572946	1.294170	6.542718	0.005306	0.003797	-0.018110	11.553325	48.743868	-45.108208			
28786		-7.550250	1.212658	6.568980	0.011997	-0.008057	-0.013212	11.553230	48.735975	-45.115194			
28787		-7.533084	1.188098	6.502510	0.010252	-0.009821	-0.010870	11.549720	48.725320	-45.113855			
28788		-7.450813	1.194042	6.450071	0.014375	-0.005789	-0.009702	11.553529	48.718297	-45.117453			
28789		-7.465713	1.159322	6.468028	0.023147	0.000677	-0.009200	11.556823	48.709000	-45.106080			
28790		-7.457250	1.175227	6.437620	0.028607	0.004217	-0.007415	11.571548	48.707323	-45.105978			
28791		-7.471718	1.195278	6.462289	0.026577	-0.000254	-0.009354	11.580360	48.701050	-45.107582			
28792		-7.463352	1.211446	6.431702	0.032727	0.008257	-0.006247	11.598718	48.701502	-45.105780			
28793		-7.457835	1.233344	6.442503	0.033889	0.010573	-0.010597	11.611864	48.702277	-45.102382			
28794		-7.449218	1.226942	6.500066	0.031684	0.005499	-0.009133	11.627416	48.701512	-45.103514			
28795		-7.466914	1.275391	6.477780	0.027845	0.004176	-0.006016	11.637867	48.696189	-45.093912			
28796		-7.459142	1.237487	6.440195	0.028195	0.001974	-0.004445	11.653944	48.692900	-45.091667			
28797		-7.459344	1.239077	6.439655	0.026153	0.003471	0.000169	11.666559	48.687785	-45.071998			
28798		-7.473822	1.259525	6.464209	0.021155	0.003240	-0.000735	11.681131	48.684773	-45.066372			
28799		-7.454208	1.208494	6.443453	0.031677	0.002104	-0.000755	11.697898	48.680522	-45.052967			
28800		-7.462631	1.249850	6.479597	0.032015	0.009281	-0.001008	11.719311	48.680927	-45.046510			
28801		-7.495739	1.263820	6.474636	0.036770	0.017238	-0.002366	11.740016	48.683509	-45.035045			
28802		-7.502167	1.299803	6.468259	0.034915	0.009961	0.000674	11.764251	48.684093	-45.027033			
28803		-7.488213	1.282794	6.442434	0.022081	0.000502	0.002855	11.777791	48.678757	-45.011343			
28804		-7.467720	1.285912	6.428901	0.027025	-0.000320	-0.000077	11.795653	48.673659	-45.005790			
28805		-7.443694	1.315443	6.468792	0.033467	0.004943	0.000753	11.817545	48.673069	-45.001834			
28806		-7.449612	1.351169	6.462999	0.033064	0.006087	-0.004657	11.836796	48.672101	-44.999043			
